#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
5700 4.78411898509235e-05 1.69764222180039e-05 3.19207938971974e-06 3.18705042534081e-05 1.13092324457752e-05 2.12647678881529e-06 0.598 0.2122 0.0399 0.02
5800 4.78490790050636e-05 1.69792216803928e-05 3.19260577308126e-06 3.18716662044171e-05 1.13096447635078e-05 2.12655431698461e-06 0.598 0.2122 0.0399 0.02
5900 4.78568512056191e-05 1.69819796418608e-05 3.19312435301799e-06 3.18728128710547e-05 1.1310051657589e-05 2.12663082534388e-06 0.598 0.2122 0.0399 0.02
6000 4.78644535781133e-05 1.69846773399265e-05 3.19363160161752e-06 3.18739339334748e-05 1.13104494660263e-05 2.1267056253281e-06 0.598 0.2122 0.0399 0.02
6100 4.78719307049436e-05 1.69873305946311e-05 3.19413049352476e-06 3.18750376012194e-05 1.13108411019718e-05 2.12677926469768e-06 0.598 0.2122 0.0399 0.02
6200 4.78792113012739e-05 1.69899141105864e-05 3.19461627244379e-06 3.18761100599629e-05 1.13112216634189e-05 2.12685082172755e-06 0.598 0.2122 0.0399 0.02
6300 4.78863909368346e-05 1.69924618006634e-05 3.19509531501716e-06 3.18771692859139e-05 1.13115975292162e-05 2.12692149583365e-06 0.598 0.2122 0.0399 0.02
6400 4.78934656210351e-05 1.69949722488027e-05 3.19556735498304e-06 3.18782142814689e-05 1.13119683453647e-05 2.12699122045346e-06 0.598 0.2122 0.0399 0.02
6500 4.79003775811056e-05 1.69974249543662e-05 3.19602853760313e-06 3.18792338417651e-05 1.13123301358243e-05 2.12705924797155e-06 0.598 0.2122 0.0399 0.02
6600 4.7907129780909e-05 1.69998209690791e-05 3.19647906063349e-06 3.1880228330521e-05 1.13126830296604e-05 2.12712560265609e-06 0.598 0.2122 0.0399 0.02
6700 4.79137781027462e-05 1.70021801227477e-05 3.1969226526758e-06 3.18812081789711e-05 1.13130307283914e-05 2.12719098050419e-06 0.598 0.2122 0.0399 0.02
6800 4.79203726637872e-05 1.70045201994248e-05 3.19736265766834e-06 3.188218272334e-05 1.13133765449718e-05 2.12725600445121e-06 0.598 0.2122 0.0399 0.02
6900 4.79267920958236e-05 1.70067981316625e-05 3.19779097763197e-06 3.18831287113563e-05 1.13137122283448e-05 2.12731912304962e-06 0.598 0.2122 0.0399 0.02
7000 4.79331208478391e-05 1.70090438861402e-05 3.19821324720625e-06 3.18840620232249e-05 1.13140434135932e-05 2.12738139586494e-06 0.598 0.2122 0.0399 0.02
7100 4.79393301734583e-05 1.70112472622211e-05 3.19862754836379e-06 3.18849770215786e-05 1.13143681002999e-05 2.12744244675844e-06 0.598 0.2122 0.0399 0.02
7200 4.79454807376919e-05 1.70134297868538e-05 3.19903792882017e-06 3.18858850592746e-05 1.13146903170208e-05 2.12750303322009e-06 0.598 0.2122 0.0399 0.02
7300 4.79515212896178e-05 1.70155732736744e-05 3.19944096899048e-06 3.18867762672157e-05 1.13150065617116e-05 2.12756249675997e-06 0.598 0.2122 0.0399 0.02
7400 4.79574438033062e-05 1.70176748746856e-05 3.19983613336534e-06 3.18876489519733e-05 1.13153162334601e-05 2.12762072438845e-06 0.598 0.2122 0.0399 0.02
7500 4.79632924999869e-05 1.70197502817686e-05 3.2002263724917e-06 3.18885113644481e-05 1.13156222600941e-05 2.12767826662548e-06 0.598 0.2122 0.0399 0.02
7600 4.79690315888592e-05 1.70217867945758e-05 3.20060929832114e-06 3.18893565513814e-05 1.13159221742534e-05 2.1277346595329e-06 0.598 0.2122 0.0399 0.02
