#time   Nlower	Nupper  Nbottom
11112.5 0 1 0
11125 0 1 0
11137.5 0 1 0
11150 0 1 0
11162.5 0 1 0
11175 0 1 0
11187.5 0 1 0
11200 0 1 0
11212.5 0 1 0
11225 0 1 0
11237.5 0 1 0
11250 0 1 0
11262.5 0 1 0
11275 0 1 0
11287.5 0 1 0
11300 0 1 0
11312.5 0 1 0
11325 0 1 0
11337.5 0 1 0
11350 0 1 0
11362.5 0 1 0
11375 0 1 0
11387.5 0 1 0
11400 0 1 0
11412.5 0 1 0
11425 0 1 0
11437.5 0 1 0
11450 0 1 0
11462.5 0 1 0
11475 0 1 0
11487.5 0 1 0
11500 0 1 0
11512.5 0 1 0
11525 0 1 0
11537.5 0 1 0
11550 0 1 0
11562.5 0 1 0
11575 0 1 0
11587.5 0 1 0
11600 0 1 0
11612.5 0 1 0
11625 0 1 0
11637.5 0 1 0
11650 0 1 0
11662.5 0 1 0
11675 0 1 0
11687.5 0 1 0
11700 0 1 0
11712.5 0 1 0
11725 0 1 0
11737.5 0 1 0
11750 0 1 0
11762.5 0 1 0
11775 0 1 0
11787.5 0 1 0
11800 0 1 0
11812.5 0 1 0
11825 0 1 0
11837.5 0 1 0
11850 0 1 0
11862.5 0 1 0
11875 0 1 0
11887.5 0 1 0
11900 0 1 0
11912.5 0 1 0
11925 0 1 0
11937.5 0 1 0
11950 0 1 0
11962.5 0 1 0
11975 0 1 0
11987.5 0 1 0
12000 0 1 0
12012.5 0 1 0
12025 0 1 0
12037.5 0 1 0
12050 0 1 0
12062.5 0 1 0
12075 0 1 0
12087.5 0 1 0
12100 0 1 0
12112.5 0 1 0
12125 0 1 0
12137.5 0 1 0
12150 0 1 0
12162.5 0 1 0
12175 0 1 0
12187.5 0 1 0
12200 0 1 0
12212.5 0 1 0
12225 0 1 0
12237.5 0 1 0
12250 0 1 0
12262.5 0 1 0
12275 0 1 0
12287.5 0 1 0
12300 0 1 0
12312.5 0 1 0
12325 0 1 0
12337.5 0 1 0
12350 0 1 0
12362.5 0 1 0
12375 0 1 0
12387.5 0 1 0
12400 0 1 0
12412.5 0 1 0
12425 0 1 0
12437.5 0 1 0
12450 0 1 0
12462.5 0 1 0
12475 0 1 0
12487.5 0 1 0
12500 0 1 0
12512.5 0 1 0
12525 0 1 0
12537.5 0 1 0
12550 0 1 0
12562.5 0 1 0
12575 0 1 0
12587.5 0 1 0
12600 0 1 0
12612.5 0 1 0
12625 0 1 0
12637.5 0 1 0
12650 0 1 0
12662.5 0 1 0
12675 0 1 0
12687.5 0 1 0
12700 0 1 0
12712.5 0 1 0
12725 0 1 0
12737.5 0 1 0
12750 0 1 0
12762.5 0 1 0
12775 0 1 0
12787.5 0 1 0
12800 0 1 0
12812.5 0 1 0
12825 0 1 0
12837.5 0 1 0
12850 0 1 0
12862.5 0 1 0
12875 0 1 0
12887.5 0 1 0
12900 0 1 0
12912.5 0 1 0
12925 0 1 0
12937.5 0 1 0
12950 0 1 0
12962.5 0 1 0
12975 0 1 0
12987.5 0 1 0
13000 0 1 0
13012.5 0 1 0
13025 0 1 0
13037.5 0 1 0
13050 0 1 0
13062.5 0 1 0
13075 0 1 0
13087.5 0 1 0
13100 0 1 0
13112.5 0 1 0
13125 0 1 0
13137.5 0 1 0
13150 0 1 0
13162.5 0 1 0
13175 0 1 0
13187.5 0 1 0
13200 0 1 0
13212.5 0 1 0
13225 0 1 0
13237.5 0 1 0
13250 0 1 0
13262.5 0 1 0
13275 0 1 0
13287.5 0 1 0
13300 0 1 0
13312.5 0 1 0
