#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)
              138	5.6312011375e-04	3.9955971514e-01	5.9987716475e-01
              139	5.6254211904e-04	3.9956016704e-01	5.9987729084e-01
              140	5.6196038586e-04	3.9956062187e-01	5.9987741775e-01
              141	5.6137533665e-04	3.9956107929e-01	5.9987754538e-01
              142	5.6078737158e-04	3.9956153899e-01	5.9987767364e-01
              143	5.6019686770e-04	3.9956200067e-01	5.9987780246e-01
              144	5.5960417338e-04	3.9956246407e-01	5.9987793176e-01
              145	5.5900961882e-04	3.9956292892e-01	5.9987806146e-01
              146	5.5841352079e-04	3.9956339499e-01	5.9987819149e-01
              147	5.5781616830e-04	3.9956386203e-01	5.9987832180e-01
              148	5.5721783295e-04	3.9956432984e-01	5.9987845233e-01
              149	5.5661877623e-04	3.9956479822e-01	5.9987858301e-01
              150	5.5601923652e-04	3.9956526697e-01	5.9987871379e-01
              151	5.5541943582e-04	3.9956573593e-01	5.9987884464e-01
              152	5.5481958223e-04	3.9956620493e-01	5.9987897549e-01
              153	5.5421987580e-04	3.9956667381e-01	5.9987910631e-01
              154	5.5362049839e-04	3.9956714244e-01	5.9987923706e-01
              155	5.5302161658e-04	3.9956761068e-01	5.9987936770e-01
              156	5.5242339512e-04	3.9956807841e-01	5.9987949820e-01
              157	5.5182597722e-04	3.9956854550e-01	5.9987962852e-01
              158	5.5122949846e-04	3.9956901187e-01	5.9987975863e-01
              159	5.5063408823e-04	3.9956947740e-01	5.9987988852e-01
              160	5.5003986696e-04	3.9956994199e-01	5.9988001814e-01
              161	5.4944694201e-04	3.9957040558e-01	5.9988014748e-01
              162	5.4885540861e-04	3.9957086808e-01	5.9988027652e-01
              163	5.4826536868e-04	3.9957132941e-01	5.9988040523e-01
              164	5.4767690265e-04	3.9957178951e-01	5.9988053359e-01
              165	5.4709008649e-04	3.9957224832e-01	5.9988066160e-01
              166	5.4650500171e-04	3.9957270577e-01	5.9988078923e-01
              167	5.4592171193e-04	3.9957316182e-01	5.9988091646e-01
              168	5.4534027233e-04	3.9957361643e-01	5.9988104330e-01
              169	5.4476074033e-04	3.9957406955e-01	5.9988116971e-01
              170	5.4418316715e-04	3.9957452113e-01	5.9988129570e-01
              171	5.4360759816e-04	3.9957497115e-01	5.9988142126e-01
              172	5.4303407237e-04	3.9957541957e-01	5.9988154636e-01
              173	5.4246262761e-04	3.9957586636e-01	5.9988167101e-01
