#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
8530 0.000175112761140247 1.73077944251084e-05 3.25375219729046e-06 0.000118789253104007 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8540 0.00017511401545913 1.73077944251084e-05 3.25375219729046e-06 0.000118789484460334 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8550 0.000175115296847378 1.73077944251084e-05 3.25375219729046e-06 0.000118789721083634 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8560 0.000175116437002247 1.73077944251084e-05 3.25375219729046e-06 0.000118789930360018 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8570 0.000175117624786775 1.73077944251084e-05 3.25375219729046e-06 0.000118790148898905 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8580 0.0001751188560963 1.73077944251084e-05 3.25375219729046e-06 0.000118790375892039 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8590 0.000175120079184385 1.73077944251084e-05 3.25375219729046e-06 0.000118790601315708 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8600 0.000175121224088392 1.73077944251084e-05 3.25375219729046e-06 0.000118790811612162 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8610 0.000175122414385861 1.73077944251084e-05 3.25375219729046e-06 0.000118791030730236 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8620 0.000175123647339861 1.73077944251084e-05 3.25375219729046e-06 0.000118791258136755 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8630 0.000175124845744826 1.73077944251084e-05 3.25375219729046e-06 0.000118791478870203 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8640 0.000175126068473087 1.73077944251084e-05 3.25375219729046e-06 0.000118791704342222 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8650 0.000175127218281413 1.73077944251084e-05 3.25375219729046e-06 0.00011879191570599 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8660 0.000175128421510102 1.73077944251084e-05 3.25375219729046e-06 0.000118792137446337 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8670 0.000175129622124222 1.73077944251084e-05 3.25375219729046e-06 0.000118792358703919 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8680 0.000175130787194018 1.73077944251084e-05 3.25375219729046e-06 0.000118792573093798 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8690 0.000175131991104569 1.73077944251084e-05 3.25375219729046e-06 0.000118792795039629 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8700 0.000175133147078639 1.73077944251084e-05 3.25375219729046e-06 0.000118793007710188 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8710 0.000175134319527996 1.73077944251084e-05 3.25375219729046e-06 0.000118793223602466 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8720 0.000175135472441001 1.73077944251084e-05 3.25375219729046e-06 0.000118793435733046 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8730 0.000175136712110638 1.73077944251084e-05 3.25375219729046e-06 0.000118793664694425 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8740 0.000175137872329277 1.73077944251084e-05 3.25375219729046e-06 0.000118793878281576 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8750 0.000175139022636093 1.73077944251084e-05 3.25375219729046e-06 0.000118794089973145 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8760 0.000175140169097843 1.73077944251084e-05 3.25375219729046e-06 0.000118794300941052 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8770 0.000175141431993835 1.73077944251084e-05 3.25375219729046e-06 0.000118794534494272 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8780 0.000175142623633447 1.73077944251084e-05 3.25375219729046e-06 0.000118794754259705 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8790 0.000175143761224744 1.73077944251084e-05 3.25375219729046e-06 0.000118794963574102 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8800 0.000175144869865392 1.73077944251084e-05 3.25375219729046e-06 0.000118795167303409 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8810 0.000175146002900941 1.73077944251084e-05 3.25375219729046e-06 0.000118795375783288 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8820 0.000175147152449053 1.73077944251084e-05 3.25375219729046e-06 0.000118795587482929 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8830 0.0001751483062042 1.73077944251084e-05 3.25375219729046e-06 0.000118795800020769 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8840 0.000175149414892536 1.73077944251084e-05 3.25375219729046e-06 0.000118796003846486 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8850 0.000175150601867449 1.73077944251084e-05 3.25375219729046e-06 0.000118796222863824 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8860 0.000175151701986923 1.73077944251084e-05 3.25375219729046e-06 0.000118796425069628 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8870 0.000175152864454934 1.73077944251084e-05 3.25375219729046e-06 0.000118796639384242 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8880 0.000175153987261228 1.73077944251084e-05 3.25375219729046e-06 0.000118796846034539 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8890 0.000175155080022219 1.73077944251084e-05 3.25375219729046e-06 0.00011879704688265 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8900 0.000175156163801024 1.73077944251084e-05 3.25375219729046e-06 0.000118797246013656 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8910 0.000175157314138113 1.73077944251084e-05 3.25375219729046e-06 0.000118797458061807 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8920 0.00017515846776559 1.73077944251084e-05 3.25375219729046e-06 0.000118797670768478 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8930 0.00017515956982613 1.73077944251084e-05 3.25375219729046e-06 0.000118797873502904 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8940 0.000175160696483367 1.73077944251084e-05 3.25375219729046e-06 0.000118798081026742 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8950 0.000175161864671981 1.73077944251084e-05 3.25375219729046e-06 0.000118798296615512 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8960 0.000175163029506618 1.73077944251084e-05 3.25375219729046e-06 0.000118798511575604 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8970 0.000175164126553321 1.73077944251084e-05 3.25375219729046e-06 0.000118798713422501 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
8980 0.000175165221288284 1.73077944251084e-05 3.25375219729046e-06 0.000118798914844557 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
