#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
6030 0.00216746525131221 0.000769127182823496 0.000144623167269828 0.0015609117396685 0.000553891973507786 0.000104152456375875 29.9 10.61 1.995 1
6040 0.0021674556370362 0.000769123771202478 0.000144622525782181 0.00156092217207693 0.000553895675442684 0.000104153152451287 29.9 10.61 1.995 1
6050 0.00216744596482313 0.000769120339022521 0.000144621880428834 0.00156093259582356 0.000553899374303946 0.000104153847948763 29.9 10.61 1.995 1
6060 0.00216743634467024 0.000769116925316094 0.000144621238549068 0.00156094302342885 0.000553903074534451 0.000104154543703697 29.9 10.61 1.995 1
6070 0.00216742661430568 0.000769113472501113 0.000144620589315714 0.00156095342266885 0.000553906764699548 0.000104155237566032 29.9 10.61 1.995 1
6080 0.00216741698783375 0.000769110056552376 0.000144619947014325 0.00156096383967654 0.0005539104611695 0.000104155932613869 29.9 10.61 1.995 1
6090 0.00216740714899418 0.000769106565245092 0.000144619290543257 0.00156097420698433 0.00055391414000347 0.00010415662434561 29.9 10.61 1.995 1
6100 0.00216739736349367 0.000769103092865145 0.000144618637631099 0.00156098458738325 0.000553917823482817 0.000104157316950822 29.9 10.61 1.995 1
6110 0.00216738755891464 0.000769099613715194 0.000144617983445977 0.00156099495805033 0.000553921503508829 0.000104158008906703 29.9 10.61 1.995 1
6120 0.00216737776799933 0.000769096139413809 0.000144617330172531 0.00156100532512656 0.000553925182260628 0.000104158700622993 29.9 10.61 1.995 1
6130 0.00216736793404938 0.000769092649841602 0.000144616674027709 0.00156101568018574 0.000553928856748183 0.000104159391537477 29.9 10.61 1.995 1
6140 0.00216735819415509 0.000769089193645001 0.000144616024158509 0.00156102605520033 0.000553932538316905 0.000104160083783433 29.9 10.61 1.995 1
6150 0.00216734831741565 0.000769085688888965 0.00014461536515867 0.00156103639886134 0.000553936208759828 0.000104160773937404 29.9 10.61 1.995 1
6160 0.00216733846215486 0.000769082191754618 0.000144614707591938 0.00156104674403936 0.000553939879741057 0.000104161464192593 29.9 10.61 1.995 1
6170 0.00216732862261666 0.000769078700199423 0.000144614051074255 0.00156105708643969 0.000553943549736624 0.000104162154262447 29.9 10.61 1.995 1
6180 0.00216731886086854 0.000769075236248 0.000144613399746914 0.00156106743811831 0.000553947223024592 0.000104162844951372 29.9 10.61 1.995 1
6190 0.00216730881821355 0.000769071672616916 0.00014461272967679 0.00156107772876576 0.000553950874655677 0.00010416353156815 29.9 10.61 1.995 1
6200 0.00216729897449205 0.000769068179577281 0.000144612072879988 0.00156108805334391 0.000553954538327054 0.000104164220448866 29.9 10.61 1.995 1
6210 0.0021672891002546 0.000769064675709072 0.000144611414047088 0.00156109837236342 0.000553958200025949 0.000104164908958696 29.9 10.61 1.995 1
6220 0.00216727929581019 0.000769061196606895 0.000144610759870948 0.00156110870262206 0.000553961865713044 0.000104165598218428 29.9 10.61 1.995 1
6230 0.00216726949343713 0.000769057718239729 0.000144610105833012 0.00156111903715092 0.000553965532915427 0.00010416628776308 29.9 10.61 1.995 1
6240 0.00216725959013182 0.000769054204056809 0.000144609445060635 0.00156112934596828 0.000553969190994095 0.000104166975592198 29.9 10.61 1.995 1
6250 0.00216724973704377 0.000769050707693457 0.000144608787638873 0.00156113965919854 0.00055397285063868 0.000104167663715756 29.9 10.61 1.995 1
6260 0.00216723973567329 0.000769047158712162 0.000144608120323352 0.00156114993545347 0.000553976497162584 0.00010416834937223 29.9 10.61 1.995 1
6270 0.00216722979328038 0.000769043630659023 0.000144607456942955 0.00156116022086906 0.000553980146937149 0.000104169035639926 29.9 10.61 1.995 1
6280 0.00216721989858541 0.000769040119531479 0.00014460679674508 0.00156117051425487 0.000553983799539939 0.000104169722439414 29.9 10.61 1.995 1
6290 0.00216721003303768 0.000769036618746814 0.000144606138491979 0.00156118080853715 0.000553987452460843 0.000104170409298716 29.9 10.61 1.995 1
6300 0.00216720004428578 0.000769033074243214 0.000144605472018399 0.00156119107986915 0.000553991097237848 0.000104171094626721 29.9 10.61 1.995 1
6310 0.00216719015201777 0.000769029563976874 0.000144604811982457 0.0015612013632151 0.000553994746278001 0.000104171780756325 29.9 10.61 1.995 1
6320 0.00216718013218902 0.000769026008445669 0.000144604143435354 0.00156121161417488 0.000553998383825935 0.000104172464725046 29.9 10.61 1.995 1
6330 0.00216717021217091 0.000769022488332221 0.000144603481547859 0.00156122189191034 0.000554002030875208 0.000104173150480305 29.9 10.61 1.995 1
6340 0.00216716027996992 0.000769018963895682 0.000144602818847492 0.00156123215840399 0.00055400567393533 0.000104173835485484 29.9 10.61 1.995 1
6350 0.00216715027697301 0.000769015414337246 0.00014460215142345 0.00156124240644581 0.000554009310447829 0.000104174519259512 29.9 10.61 1.995 1
6360 0.0021671403067827 0.000769011876420215 0.000144601486188344 0.00156125265780651 0.000554012948138028 0.000104175203254983 29.9 10.61 1.995 1
6370 0.00216713028109436 0.000769008318809737 0.000144600817250276 0.00156126288995802 0.000554016579011861 0.000104175885968771 29.9 10.61 1.995 1
6380 0.00216712014368452 0.000769004721554941 0.00014460014085788 0.00156127309523331 0.000554020200348675 0.000104176566889313 29.9 10.61 1.995 1
6390 0.00216710994800605 0.000769001103623553 0.000144599460577661 0.00156128328559376 0.000554023816392968 0.0001041772468147 29.9 10.61 1.995 1
6400 0.00216709984674272 0.000768997519195326 0.000144598786597048 0.0015612934933745 0.000554027438618846 0.000104177927902413 29.9 10.61 1.995 1
6410 0.00216708982682163 0.000768993963631354 0.000144598118043784 0.00156130371635667 0.000554031066238939 0.0001041786100044 29.9 10.61 1.995 1
6420 0.00216707968989826 0.00076899036654918 0.000144597441683847 0.00156131390607895 0.000554034682056778 0.000104179289887208 29.9 10.61 1.995 1
6430 0.00216706954395815 0.000768986766267424 0.000144596764722291 0.00156132408839723 0.000554038295247313 0.000104179969276003 29.9 10.61 1.995 1
6440 0.00216705945976622 0.000768983187896977 0.000144596091880723 0.00156133428200009 0.000554041912442172 0.000104180649417732 29.9 10.61 1.995 1
6450 0.0021670493200296 0.000768979589816522 0.000144595415333078 0.0015613444610648 0.000554045524478178 0.000104181328589441 29.9 10.61 1.995 1
6460 0.00216703918643616 0.000768975993915974 0.000144594739195322 0.00156135463719986 0.0005540491354746 0.000104182007565676 29.9 10.61 1.995 1
6470 0.00216702901138718 0.000768972383304949 0.000144594060291553 0.00156136479675919 0.000554052740589129 0.000104182685435939 29.9 10.61 1.995 1
6480 0.00216701892054708 0.000768968802575401 0.000144593387006402 0.00156137496714187 0.000554056349544323 0.000104183364028362 29.9 10.61 1.995 1
6490 0.00216700863530884 0.000768965152863774 0.00014459270075054 0.00156138509601017 0.000554059943768159 0.000104184039850846 29.9 10.61 1.995 1
6500 0.00216699854716889 0.000768961573092372 0.00014459202764555 0.0015613952587138 0.000554063549998442 0.000104184717930904 29.9 10.61 1.995 1
