#time mL_Fe mL_w mL_m mL_h
1690 0.00903997199183244 0.0683120199317595 0.00692239184861695 0.0856407720319754
1700 0.00909310217719648 0.068498602543686 0.00690491536609883 0.0853750763811693
1710 0.0091461277334218 0.0686841716986569 0.00688749749451601 0.0851105959975101
1720 0.00919904834120278 0.0688687374574439 0.00687013778017775 0.0848473206258145
1730 0.00925186369085212 0.0690523097212541 0.00685283578585915 0.0845852401574448
1740 0.00930457348114395 0.0692348982490737 0.00683559107577398 0.0843243446282358
1750 0.00935717741714178 0.0694165126745795 0.00681840320062157 0.0840646242182738
1760 0.00940967521824082 0.0695971624661164 0.00680127174051236 0.0838060692404696
1770 0.00946206661749629 0.0697768569456968 0.00678419628514886 0.0835486701409075
1780 0.00951435134733681 0.069955605316874 0.00676717641841779 0.0832924175042342
1790 0.00956652914501725 0.0701334166731696 0.00675021170614653 0.0830373020491634
1800 0.00961859975839007 0.0703102999677184 0.00673330173062631 0.0827833146182441
1810 0.00967056294832231 0.0704862640095363 0.00671644609468026 0.0825304461743432
1820 0.0097224184696646 0.0706613175225327 0.00669964436993353 0.0822786878157888
1830 0.00977416608879869 0.07083546910142 0.0066828961397013 0.0820280307559123
1840 0.00982580558320295 0.0710087272087626 0.00666620100237773 0.0817784663234431
1850 0.0098773367333511 0.0711811001950397 0.00664955855710785 0.0815299859666169
1860 0.00992875933165242 0.0713525962898468 0.00663296841281023 0.0812825812408385
1870 0.00998007317751425 0.0715232235994611 0.00661643019258923 0.0810362438138812
1880 0.0100312780744385 0.0716929901445583 0.00659994349958232 0.0807909654634545
1890 0.0100823738390672 0.0718619038167119 0.00658350795891614 0.0805467380692106
1900 0.0101333602903304 0.072029972406445 0.00656712319535855 0.0803035536202037
1910 0.0101842372597681 0.0721972035777901 0.00655078885799058 0.0800614042028817
1920 0.0102350045728675 0.0723636049285995 0.00653450456569365 0.0798202820171394
1930 0.010285662070026 0.0725291839234981 0.00651826997245067 0.0795801793533019
1940 0.0103362095935287 0.0726939479390108 0.00650208472750475 0.0793410886018096
1950 0.0103866469927269 0.0728579042489277 0.00648594848711953 0.079103002249911
1960 0.0104369741196798 0.0730210600438437 0.00646986090433244 0.0788659128767811
1970 0.0104871908295686 0.0731834224338376 0.0064538216228961 0.0786298131562174
1980 0.0105372969796335 0.0733449984366831 0.00643783029390225 0.0783946958540654
1990 0.0105872924236713 0.0735057950036911 0.00642188654901619 0.0781605538350549
2000 0.010637177027991 0.0736658189759176 0.00640599004503491 0.0779273800425581
2010 0.010686950665859 0.0738250770956863 0.00639014045389035 0.0776951675040696
2020 0.0107366132153526 0.0739835760124287 0.00637433745838228 0.0774639093321969
2030 0.0107861645519035 0.0741413223143691 0.00635858072398058 0.0772335987292831
2040 0.0108356045627792 0.074298322490547 0.00634286993443875 0.0770042289720622
2050 0.0108849331335914 0.074454582944015 0.00632720478372645 0.0767757934246283
2060 0.0109341501613722 0.0746101099850169 0.00631158498058079 0.0765482855226133
2070 0.0109832555360031 0.0747649098781279 0.00629601020733235 0.0763216987899453
2080 0.0110322491518133 0.0749189888179391 0.00628048014292938 0.0760960268254697
2090 0.011081130912026 0.0750723528973024 0.00626499449576532 0.0758712632979215
2100 0.011129900732261 0.0752250081109011 0.00624955299813814 0.0756474019426811
2110 0.0111785585184299 0.0753769604220024 0.00623415534803411 0.0754244365794207
2120 0.0112271041715732 0.0755282157452049 0.00621880122470147 0.0752023611082509
2130 0.0112755376196789 0.0756787798439865 0.00620349038577433 0.074981169477608
2140 0.0113238587684579 0.0758286585027305 0.00618822250870038 0.0747608557275028
2150 0.0113720675322456 0.075977857418632 0.00617299729006035 0.0745414139627185
2160 0.0114201638441997 0.076126382162813 0.00615781448462458 0.074322838341038
2170 0.0114681476288129 0.0762742382912236 0.00614267380392135 0.0741051230942309
2180 0.0115160188154105 0.0764214312890454 0.00612757496642121 0.0738882625186244
2190 0.0115637773423739 0.0765679665523997 0.0061125177175857 0.0736722509686512
2200 0.0116114231451129 0.0767138494256696 0.0060975017947795 0.0734570828688688
2210 0.0116589561642855 0.0768590851953295 0.00608252693317874 0.0732427527029525
2220 0.0117063763367242 0.077003679105023 0.00606759285636922 0.0730292550196379
2230 0.0117536836090566 0.0771476363206951 0.00605269930414339 0.0728165844232402
2240 0.0118008779257703 0.0772909619598199 0.00603784601165828 0.0726047355797983
2250 0.0118479592348013 0.0774336610760122 0.00602303272043488 0.0723937032148068
2260 0.0118949274912899 0.0775757386525862 0.00600825918763821 0.0721834821054044
2270 0.0119417826541506 0.0777171996203821 0.0059935251682978 0.0719740670838605
2280 0.0119885246804809 0.0778580488683786 0.00597883040817041 0.0717654530411578
2290 0.0120351535324052 0.0779982912132448 0.00596417467005031 0.0715576349238278
2300 0.0120816691746338 0.0781379314253363 0.00594955771379485 0.0713506077292131
2310 0.0121280715728242 0.0782769742275372 0.00593497929597598 0.0711443665094596
2320 0.0121743606900704 0.0784154243060455 0.00592043916167569 0.0709389063730358
2330 0.0122205364957741 0.0785532862821287 0.00590593707046335 0.0707342224765649
2340 0.0122665989649073 0.0786905647191999 0.00589147279107311 0.070530310023521
2350 0.0123125480742188 0.0788272641311498 0.00587704609335496 0.0703271642687207
2360 0.0123583837971848 0.078963388992495 0.00586265674022648 0.0701247805225898
2370 0.0124041061077429 0.079098943747995 0.00584830448072001 0.0699231541423302
2380 0.0124497149846554 0.0792339327849269 0.00583398907578973 0.0697222805297952
2390 0.0124952104142066 0.0793683604192167 0.00581971030972492 0.0695221551312385
2400 0.0125405923813159 0.0795022309409891 0.00580546794983459 0.0693227734411067
2410 0.012585860874088 0.0796355485844985 0.00579126177611132 0.0691241309982616
2420 0.0126310158924178 0.0797683175131082 0.0057770915933239 0.0689262233778617
2430 0.0126760574208142 0.0799005418943038 0.00576295716462393 0.0687290462155364
2440 0.0127209854649367 0.0800322257888788 0.00574885831019793 0.0685325951762431
2450 0.0127658000205237 0.0801633732591478 0.00573479481486814 0.0683368659740186
