#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
1800 4.72688939487496e-05 1.67733433042225e-05 3.15389442902286e-06 3.17966417622417e-05 1.12830223778396e-05 2.12154850554181e-06 0.598 0.2122 0.0399 0.02
1900 4.72946979283147e-05 1.6782499833426e-05 3.15561613267611e-06 3.18005349702467e-05 1.1284403880747e-05 2.12180826975485e-06 0.598 0.2122 0.0399 0.02
2000 4.73190970374473e-05 1.67911578450614e-05 3.15724409999115e-06 3.18042130050848e-05 1.12857090295642e-05 2.12205367709605e-06 0.598 0.2122 0.0399 0.02
2100 4.73422657456261e-05 1.67993792495355e-05 3.1587899719917e-06 3.18077047414974e-05 1.12869480704785e-05 2.1222866541577e-06 0.598 0.2122 0.0399 0.02
2200 4.73642729103348e-05 1.6807188480892e-05 3.16025834301491e-06 3.18110192675164e-05 1.12881242283735e-05 2.12250780731516e-06 0.598 0.2122 0.0399 0.02
2300 4.7385203685501e-05 1.68146157559594e-05 3.16165489473587e-06 3.18141693709458e-05 1.12892420409951e-05 2.1227179898015e-06 0.598 0.2122 0.0399 0.02
2400 4.74051882789624e-05 1.68217072789234e-05 3.16298831493504e-06 3.18171767960285e-05 1.1290309224277e-05 2.12291865244497e-06 0.598 0.2122 0.0399 0.02
2500 4.74242808838698e-05 1.68284822801966e-05 3.16426221950997e-06 3.18200490543892e-05 1.12913284437154e-05 2.12311029643928e-06 0.598 0.2122 0.0399 0.02
2600 4.74425650098297e-05 1.68349703931208e-05 3.16548218042268e-06 3.18227995777792e-05 1.12923044655604e-05 2.12329381798319e-06 0.598 0.2122 0.0399 0.02
2700 4.74600710007326e-05 1.68411823852104e-05 3.16665022229062e-06 3.18254318546785e-05 1.12932385276976e-05 2.1234694498365e-06 0.598 0.2122 0.0399 0.02
2800 4.74768599553201e-05 1.68471399373232e-05 3.16777042176894e-06 3.1827955511702e-05 1.12941340461263e-05 2.12363783431014e-06 0.598 0.2122 0.0399 0.02
2900 4.74929671625493e-05 1.6852855571728e-05 3.16884513342186e-06 3.18303753959596e-05 1.12949927408411e-05 2.12379929481496e-06 0.598 0.2122 0.0399 0.02
3000 4.75083899655319e-05 1.68583283456292e-05 3.16987417997538e-06 3.18326892908967e-05 1.12958138252988e-05 2.12395368345708e-06 0.598 0.2122 0.0399 0.02
3100 4.75232603258433e-05 1.68636050855256e-05 3.17086636622359e-06 3.18349208951782e-05 1.12966057089585e-05 2.12410258146851e-06 0.598 0.2122 0.0399 0.02
3200 4.75376167510012e-05 1.68686994557907e-05 3.17182426148078e-06 3.18370761086564e-05 1.12973704853801e-05 2.12424638250159e-06 0.598 0.2122 0.0399 0.02
3300 4.75514457639473e-05 1.6873606674097e-05 3.17274696652518e-06 3.18391511086742e-05 1.12981067980954e-05 2.12438483149943e-06 0.598 0.2122 0.0399 0.02
3400 4.75647500362309e-05 1.68783276884424e-05 3.17363465960898e-06 3.1841145169415e-05 1.12988143895489e-05 2.12451788003381e-06 0.598 0.2122 0.0399 0.02
3500 4.75776530252508e-05 1.68829063076231e-05 3.17449557810713e-06 3.1843080788338e-05 1.12995012429527e-05 2.12464702918937e-06 0.598 0.2122 0.0399 0.02
3600 4.75900602609136e-05 1.68873090089737e-05 3.17532341874751e-06 3.18449388924605e-05 1.13001605902684e-05 2.12477100637079e-06 0.598 0.2122 0.0399 0.02
3700 4.76021065066171e-05 1.68915836132183e-05 3.17612717326853e-06 3.1846744301077e-05 1.13008012386102e-05 2.12489146758115e-06 0.598 0.2122 0.0399 0.02
3800 4.76137765646993e-05 1.68957247274742e-05 3.17690582764558e-06 3.18484932281253e-05 1.13014218444959e-05 2.12500816020528e-06 0.598 0.2122 0.0399 0.02
3900 4.76250957724074e-05 1.68997413426509e-05 3.17766107244082e-06 3.18501897113029e-05 1.13020238407004e-05 2.12512135364807e-06 0.598 0.2122 0.0399 0.02
4000 4.76361244502987e-05 1.69036548634678e-05 3.17839693238708e-06 3.18518445269609e-05 1.13026110512065e-05 2.12523176693361e-06 0.598 0.2122 0.0399 0.02
4100 4.76467964469838e-05 1.69074418161377e-05 3.17910899370436e-06 3.18534443350557e-05 1.13031787423064e-05 2.12533850998207e-06 0.598 0.2122 0.0399 0.02
4200 4.76571156473867e-05 1.69111035792238e-05 3.17979751560416e-06 3.1854989216938e-05 1.13037269428673e-05 2.12544158822138e-06 0.598 0.2122 0.0399 0.02
4300 4.7667147757477e-05 1.69146634684565e-05 3.18046688214697e-06 3.18564911524765e-05 1.13042599039396e-05 2.1255418009772e-06 0.598 0.2122 0.0399 0.02
4400 4.76768619165905e-05 1.69181105329446e-05 3.18111503423498e-06 3.18579436726789e-05 1.13047753300048e-05 2.12563871662282e-06 0.598 0.2122 0.0399 0.02
4500 4.7686338517102e-05 1.6921473299882e-05 3.18174733584101e-06 3.18593615883023e-05 1.13052784766524e-05 2.12573332336759e-06 0.598 0.2122 0.0399 0.02
4600 4.7695514487835e-05 1.69247293884933e-05 3.1823595787043e-06 3.18607323692906e-05 1.13057648975984e-05 2.12582478517601e-06 0.598 0.2122 0.0399 0.02
4700 4.77044732470549e-05 1.69279083997081e-05 3.18295732869239e-06 3.18620714827184e-05 1.13062400813265e-05 2.12591413404853e-06 0.598 0.2122 0.0399 0.02
4800 4.77132244090017e-05 1.69310137451347e-05 3.18354122729051e-06 3.18633803119931e-05 1.1306704518738e-05 2.12600146228944e-06 0.598 0.2122 0.0399 0.02
4900 4.77217261140786e-05 1.69340305709162e-05 3.18410848152557e-06 3.18646504752505e-05 1.13071552355327e-05 2.12608621064056e-06 0.598 0.2122 0.0399 0.02
5000 4.77300510383751e-05 1.69369846661264e-05 3.18466394052128e-06 3.18658954470508e-05 1.13075970131514e-05 2.126169278157e-06 0.598 0.2122 0.0399 0.02
5100 4.77381366396875e-05 1.69398538376958e-05 3.18520343131119e-06 3.18671029326452e-05 1.13080254888089e-05 2.12624984450352e-06 0.598 0.2122 0.0399 0.02
5200 4.77460210338644e-05 1.69426516110141e-05 3.1857294970765e-06 3.18682798444297e-05 1.13084431153652e-05 2.12632837089181e-06 0.598 0.2122 0.0399 0.02
5300 4.77537368935965e-05 1.69453895799692e-05 3.18624431781782e-06 3.18694321343996e-05 1.13088520048829e-05 2.12640525445335e-06 0.598 0.2122 0.0399 0.02
5400 4.77612520021368e-05 1.69480563124646e-05 3.18674574395622e-06 3.18705533295796e-05 1.13092498604301e-05 2.12648006329563e-06 0.598 0.2122 0.0399 0.02
5500 4.7768618567855e-05 1.69506703346141e-05 3.18723725895982e-06 3.1871653093726e-05 1.13096401111857e-05 2.12655344220774e-06 0.598 0.2122 0.0399 0.02
5600 4.7775819030223e-05 1.69532254150731e-05 3.18771769114792e-06 3.18727278150609e-05 1.13100214755122e-05 2.12662515020315e-06 0.598 0.2122 0.0399 0.02
5700 4.77829052198079e-05 1.69557399458924e-05 3.18819049878076e-06 3.18737871026881e-05 1.13103973631953e-05 2.12669582842444e-06 0.598 0.2122 0.0399 0.02
5800 4.77898182559577e-05 1.6958193033302e-05 3.18865175319945e-06 3.18748194959841e-05 1.13107637074385e-05 2.12676471219118e-06 0.598 0.2122 0.0399 0.02
5900 4.77965852781678e-05 1.69605943077385e-05 3.18910326521648e-06 3.18758299343772e-05 1.13111222609954e-05 2.12683213107393e-06 0.598 0.2122 0.0399 0.02
6000 4.78031931131822e-05 1.69629390946783e-05 3.18954415588048e-06 3.18768156826047e-05 1.13114720532594e-05 2.12689790256937e-06 0.598 0.2122 0.0399 0.02
6100 4.78096590657347e-05 1.69652335346978e-05 3.18997557980497e-06 3.18777798345429e-05 1.13118141820909e-05 2.12696223310839e-06 0.598 0.2122 0.0399 0.02
