#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)
              296	6.9300139020e-03	3.7163646387e-01	6.2143352222e-01
              297	6.9297072188e-03	3.7163670110e-01	6.2143359169e-01
              298	6.9294014779e-03	3.7163693759e-01	6.2143366093e-01
              299	6.9290966755e-03	3.7163717335e-01	6.2143372997e-01
              300	6.9287928059e-03	3.7163740840e-01	6.2143379880e-01
              301	6.9284898603e-03	3.7163764273e-01	6.2143386741e-01
              302	6.9281878344e-03	3.7163787635e-01	6.2143393582e-01
              303	6.9278867205e-03	3.7163810926e-01	6.2143400402e-01
              304	6.9275865110e-03	3.7163834147e-01	6.2143407202e-01
              305	6.9272871971e-03	3.7163857299e-01	6.2143413981e-01
              306	6.9269887778e-03	3.7163880382e-01	6.2143420740e-01
              307	6.9266912448e-03	3.7163903397e-01	6.2143427479e-01
              308	6.9263945969e-03	3.7163926342e-01	6.2143434198e-01
              309	6.9260988178e-03	3.7163949221e-01	6.2143440897e-01
              310	6.9258039063e-03	3.7163972033e-01	6.2143447577e-01
              311	6.9255098589e-03	3.7163994777e-01	6.2143454237e-01
              312	6.9252166680e-03	3.7164017456e-01	6.2143460877e-01
              313	6.9249243300e-03	3.7164040068e-01	6.2143467499e-01
              314	6.9246328316e-03	3.7164062616e-01	6.2143474101e-01
              315	6.9243421700e-03	3.7164085099e-01	6.2143480684e-01
              316	6.9240523444e-03	3.7164107517e-01	6.2143487249e-01
              317	6.9237633436e-03	3.7164129871e-01	6.2143493794e-01
              318	6.9234751630e-03	3.7164152162e-01	6.2143500322e-01
              319	6.9231878012e-03	3.7164174390e-01	6.2143506830e-01
              320	6.9229012500e-03	3.7164196555e-01	6.2143513320e-01
              321	6.9226155025e-03	3.7164218657e-01	6.2143519792e-01
              322	6.9223305558e-03	3.7164240698e-01	6.2143526246e-01
              323	6.9220463982e-03	3.7164262678e-01	6.2143532682e-01
              324	6.9217630339e-03	3.7164284596e-01	6.2143539100e-01
              325	6.9214804588e-03	3.7164306453e-01	6.2143545501e-01
              326	6.9211986596e-03	3.7164328251e-01	6.2143551883e-01
              327	6.9209176328e-03	3.7164349988e-01	6.2143558248e-01
              328	6.9206373746e-03	3.7164371666e-01	6.2143564596e-01
              329	6.9203578798e-03	3.7164393285e-01	6.2143570927e-01
              330	6.9200791434e-03	3.7164414846e-01	6.2143577240e-01
              331	6.9198011584e-03	3.7164436348e-01	6.2143583536e-01
              332	6.9195239222e-03	3.7164457793e-01	6.2143589815e-01
              333	6.9192474335e-03	3.7164479179e-01	6.2143596078e-01
              334	6.9189716848e-03	3.7164500508e-01	6.2143602323e-01
              335	6.9186966719e-03	3.7164521781e-01	6.2143608552e-01
              336	6.9184223858e-03	3.7164542997e-01	6.2143614765e-01
              337	6.9181488259e-03	3.7164564157e-01	6.2143620961e-01
              338	6.9178759871e-03	3.7164585261e-01	6.2143627140e-01
              339	6.9176038661e-03	3.7164606310e-01	6.2143633304e-01
              340	6.9173324566e-03	3.7164627303e-01	6.2143639451e-01
              341	6.9170617555e-03	3.7164648242e-01	6.2143645582e-01
              342	6.9167917554e-03	3.7164669127e-01	6.2143651698e-01
              343	6.9165224542e-03	3.7164689958e-01	6.2143657797e-01
              344	6.9162538483e-03	3.7164710734e-01	6.2143663881e-01
              345	6.9159859304e-03	3.7164731458e-01	6.2143669949e-01
              346	6.9157187006e-03	3.7164752128e-01	6.2143676002e-01
              347	6.9154521507e-03	3.7164772746e-01	6.2143682039e-01
              348	6.9151862785e-03	3.7164793311e-01	6.2143688061e-01
              349	6.9149210776e-03	3.7164813825e-01	6.2143694067e-01
              350	6.9146565489e-03	3.7164834286e-01	6.2143700059e-01
              351	6.9143926848e-03	3.7164854696e-01	6.2143706035e-01
              352	6.9141294818e-03	3.7164875055e-01	6.2143711997e-01
              353	6.9138669339e-03	3.7164895363e-01	6.2143717943e-01
              354	6.9136050407e-03	3.7164915621e-01	6.2143723875e-01
              355	6.9133437995e-03	3.7164935828e-01	6.2143729792e-01
              356	6.9130832040e-03	3.7164955985e-01	6.2143735694e-01
              357	6.9128232520e-03	3.7164976093e-01	6.2143741582e-01
              358	6.9125639388e-03	3.7164996151e-01	6.2143747455e-01
              359	6.9123052533e-03	3.7165016160e-01	6.2143753315e-01
              360	6.9120471994e-03	3.7165036121e-01	6.2143759159e-01
              361	6.9117897732e-03	3.7165056033e-01	6.2143764990e-01
              362	6.9115329725e-03	3.7165075896e-01	6.2143770806e-01
              363	6.9112767917e-03	3.7165095712e-01	6.2143776609e-01
              364	6.9110212253e-03	3.7165115480e-01	6.2143782397e-01
              365	6.9107662733e-03	3.7165135201e-01	6.2143788172e-01
              366	6.9105119278e-03	3.7165154875e-01	6.2143793933e-01
              367	6.9102581899e-03	3.7165174501e-01	6.2143799680e-01
              368	6.9100050518e-03	3.7165194082e-01	6.2143805413e-01
              369	6.9097525146e-03	3.7165213616e-01	6.2143811133e-01
              370	6.9095005725e-03	3.7165233104e-01	6.2143816839e-01
              371	6.9092492242e-03	3.7165252545e-01	6.2143822532e-01
              372	6.9089984657e-03	3.7165271942e-01	6.2143828212e-01
              373	6.9087482929e-03	3.7165291293e-01	6.2143833878e-01
              374	6.9084986989e-03	3.7165310599e-01	6.2143839531e-01
              375	6.9082496888e-03	3.7165329860e-01	6.2143845171e-01
              376	6.9080012503e-03	3.7165349077e-01	6.2143850798e-01
              377	6.9077533839e-03	3.7165368249e-01	6.2143856412e-01
              378	6.9075060867e-03	3.7165387378e-01	6.2143862013e-01
              379	6.9072593537e-03	3.7165406463e-01	6.2143867602e-01
              380	6.9070131886e-03	3.7165425504e-01	6.2143873177e-01
              381	6.9067675829e-03	3.7165444502e-01	6.2143878740e-01
              382	6.9065225321e-03	3.7165463456e-01	6.2143884290e-01
              383	6.9062780338e-03	3.7165482368e-01	6.2143889828e-01
              384	6.9060340885e-03	3.7165501238e-01	6.2143895353e-01
              385	6.9057906909e-03	3.7165520065e-01	6.2143900866e-01
              386	6.9055478378e-03	3.7165538849e-01	6.2143906367e-01
              387	6.9053055291e-03	3.7165557592e-01	6.2143911855e-01
              388	6.9050637592e-03	3.7165576293e-01	6.2143917331e-01
              389	6.9048225223e-03	3.7165594953e-01	6.2143922795e-01
              390	6.9045818225e-03	3.7165613571e-01	6.2143928247e-01
              391	6.9043416485e-03	3.7165632149e-01	6.2143933686e-01
              392	6.9041020054e-03	3.7165650685e-01	6.2143939114e-01
              393	6.9038628881e-03	3.7165669181e-01	6.2143944530e-01
              394	6.9036242953e-03	3.7165687636e-01	6.2143949934e-01
              395	6.9033862192e-03	3.7165706052e-01	6.2143955326e-01
              396	6.9031486608e-03	3.7165724427e-01	6.2143960707e-01
              397	6.9029116197e-03	3.7165742762e-01	6.2143966076e-01
              398	6.9026750883e-03	3.7165761058e-01	6.2143971433e-01
              399	6.9024390622e-03	3.7165779315e-01	6.2143976779e-01
              400	6.9022035416e-03	3.7165797532e-01	6.2143982113e-01
              401	6.9019685244e-03	3.7165815711e-01	6.2143987436e-01
              402	6.9017340110e-03	3.7165833851e-01	6.2143992748e-01
              403	6.9014999979e-03	3.7165851952e-01	6.2143998048e-01
              404	6.9012664802e-03	3.7165870015e-01	6.2144003337e-01
              405	6.9010334519e-03	3.7165888039e-01	6.2144008615e-01
              406	6.9008009171e-03	3.7165906026e-01	6.2144013882e-01
              407	6.9005688690e-03	3.7165923975e-01	6.2144019138e-01
              408	6.9003373085e-03	3.7165941886e-01	6.2144024383e-01
              409	6.9001062333e-03	3.7165959760e-01	6.2144029616e-01
              410	6.8998756379e-03	3.7165977597e-01	6.2144034839e-01
              411	6.8996455253e-03	3.7165995396e-01	6.2144040051e-01
              412	6.8994158867e-03	3.7166013159e-01	6.2144045252e-01
              413	6.8991867206e-03	3.7166030885e-01	6.2144050443e-01
              414	6.8989580276e-03	3.7166048575e-01	6.2144055623e-01
              415	6.8987298069e-03	3.7166066227e-01	6.2144060792e-01
              416	6.8985020532e-03	3.7166083844e-01	6.2144065950e-01
