#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(H2)	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)	weightedVolAverage(H2O)
              106	4.4537097907e-03	6.5361637299e-02	3.0986371375e-01	6.2022935984e-01	9.1579312391e-05
              107	4.4537017489e-03	6.5361523687e-02	3.0986377836e-01	6.2022934606e-01	9.1650140167e-05
              108	4.4536943920e-03	6.5361383758e-02	3.0986386493e-01	6.2022934147e-01	9.1715451231e-05
              109	4.4536876878e-03	6.5361218924e-02	3.0986397228e-01	6.2022934560e-01	9.1775501990e-05
              110	4.4536816053e-03	6.5361030545e-02	3.0986409930e-01	6.2022935801e-01	9.1830540126e-05
              111	4.4536761144e-03	6.5360819931e-02	3.0986424491e-01	6.2022937824e-01	9.1880804967e-05
              112	4.4536711867e-03	6.5360588331e-02	3.0986440807e-01	6.2022940589e-01	9.1926524617e-05
              113	4.4536667947e-03	6.5360336944e-02	3.0986458779e-01	6.2022944055e-01	9.1967917478e-05
              114	4.4536629118e-03	6.5360066927e-02	3.0986478312e-01	6.2022948184e-01	9.2005195310e-05
              115	4.4536595127e-03	6.5359779385e-02	3.0986499315e-01	6.2022952939e-01	9.2038561419e-05
              116	4.4536565731e-03	6.5359475375e-02	3.0986521700e-01	6.2022958284e-01	9.2068209480e-05
              117	4.4536540696e-03	6.5359155907e-02	3.0986545384e-01	6.2022964186e-01	9.2094325353e-05
              118	4.4536519798e-03	6.5358821954e-02	3.0986570286e-01	6.2022970612e-01	9.2117088735e-05
              119	4.4536502824e-03	6.5358474437e-02	3.0986596331e-01	6.2022977530e-01	9.2136669767e-05
              120	4.4536489569e-03	6.5358114239e-02	3.0986623445e-01	6.2022984912e-01	9.2153231933e-05
              121	4.4536479839e-03	6.5357742199e-02	3.0986651559e-01	6.2022992730e-01	9.2166930743e-05
              122	4.4536473446e-03	6.5357359118e-02	3.0986680607e-01	6.2023000956e-01	9.2177915000e-05
              123	4.4536470212e-03	6.5356965763e-02	3.0986710525e-01	6.2023009564e-01	9.2186328184e-05
              124	4.4536469968e-03	6.5356562858e-02	3.0986741254e-01	6.2023018530e-01	9.2192305522e-05
              125	4.4536472550e-03	6.5356151096e-02	3.0986772736e-01	6.2023027832e-01	9.2195977248e-05
              126	4.4536477805e-03	6.5355731135e-02	3.0986804916e-01	6.2023037445e-01	9.2197466907e-05
              127	4.4536485585e-03	6.5355303597e-02	3.0986837744e-01	6.2023047351e-01	9.2196891988e-05
              128	4.4536495748e-03	6.5354869080e-02	3.0986871170e-01	6.2023057528e-01	9.2194365817e-05
              129	4.4536508161e-03	6.5354428146e-02	3.0986905147e-01	6.2023067957e-01	9.2189995658e-05
              130	4.4536522697e-03	6.5353981328e-02	3.0986939631e-01	6.2023078621e-01	9.2183882686e-05
              131	4.4536539235e-03	6.5353529131e-02	3.0986974580e-01	6.2023089502e-01	9.2176123703e-05
              132	4.4536557661e-03	6.5353072035e-02	3.0987009955e-01	6.2023100584e-01	9.2166810461e-05
              133	4.4536577865e-03	6.5352610492e-02	3.0987045717e-01	6.2023111852e-01	9.2156030792e-05
              134	4.4536599744e-03	6.5352144927e-02	3.0987081833e-01	6.2023123290e-01	9.2143867057e-05
              135	4.4536623199e-03	6.5351675751e-02	3.0987118267e-01	6.2023134886e-01	9.2130399578e-05
              136	4.4536648135e-03	6.5351203344e-02	3.0987154988e-01	6.2023146626e-01	9.2115703098e-05
              137	4.4536674465e-03	6.5350728067e-02	3.0987191967e-01	6.2023158497e-01	9.2099848305e-05
              138	4.4536702104e-03	6.5350250263e-02	3.0987229174e-01	6.2023170488e-01	9.2082903740e-05
              139	4.4536730972e-03	6.5349770252e-02	3.0987266583e-01	6.2023182589e-01	9.2064933110e-05
              140	4.4536760994e-03	6.5349288334e-02	3.0987304169e-01	6.2023194788e-01	9.2045996442e-05
              141	4.4536792098e-03	6.5348804794e-02	3.0987341909e-01	6.2023207075e-01	9.2026151425e-05
              142	4.4536824217e-03	6.5348319904e-02	3.0987379780e-01	6.2023219442e-01	9.2005453192e-05
              143	4.4536857285e-03	6.5347833914e-02	3.0987417760e-01	6.2023231880e-01	9.1983953678e-05
              144	4.4536891242e-03	6.5347347061e-02	3.0987455831e-01	6.2023244381e-01	9.1961701409e-05
              145	4.4536926031e-03	6.5346859566e-02	3.0987493973e-01	6.2023256936e-01	9.1938742451e-05
              146	4.4536961597e-03	6.5346371638e-02	3.0987532170e-01	6.2023269538e-01	9.1915121108e-05
              147	4.4536997888e-03	6.5345883474e-02	3.0987570405e-01	6.2023282181e-01	9.1890879154e-05
              148	4.4537034855e-03	6.5345395258e-02	3.0987608662e-01	6.2023294858e-01	9.1866055913e-05
              149	4.4537072455e-03	6.5344907154e-02	3.0987646928e-01	6.2023307563e-01	9.1840687175e-05
              150	4.4537110641e-03	6.5344419329e-02	3.0987685189e-01	6.2023320291e-01	9.1814809068e-05
              151	4.4537149375e-03	6.5343931927e-02	3.0987723433e-01	6.2023333036e-01	9.1788454023e-05
              152	4.4537188617e-03	6.5343445092e-02	3.0987761647e-01	6.2023345792e-01	9.1761653908e-05
              153	4.4537228331e-03	6.5342958951e-02	3.0987799821e-01	6.2023358557e-01	9.1734438040e-05
              154	4.4537268482e-03	6.5342473624e-02	3.0987837945e-01	6.2023371324e-01	9.1706833464e-05
              155	4.4537309039e-03	6.5341989225e-02	3.0987876010e-01	6.2023384090e-01	9.1678867208e-05
              156	4.4537349969e-03	6.5341505859e-02	3.0987914006e-01	6.2023396852e-01	9.1650564264e-05
              157	4.4537391245e-03	6.5341023620e-02	3.0987951925e-01	6.2023409605e-01	9.1621947819e-05
              158	4.4537432839e-03	6.5340542600e-02	3.0987989761e-01	6.2023422347e-01	9.1593040153e-05
              159	4.4537474727e-03	6.5340062880e-02	3.0988027505e-01	6.2023435074e-01	9.1563861417e-05
              160	4.4537516883e-03	6.5339584537e-02	3.0988065151e-01	6.2023447783e-01	9.1534431728e-05
              161	4.4537559286e-03	6.5339107640e-02	3.0988102694e-01	6.2023460472e-01	9.1504769399e-05
              162	4.4537601914e-03	6.5338632255e-02	3.0988140128e-01	6.2023473138e-01	9.1474891922e-05
              163	4.4537644745e-03	6.5338158443e-02	3.0988177447e-01	6.2023485779e-01	9.1444816430e-05
              164	4.4537687762e-03	6.5337686256e-02	3.0988214648e-01	6.2023498393e-01	9.1414557644e-05
              165	4.4537730948e-03	6.5337215746e-02	3.0988251725e-01	6.2023510978e-01	9.1384130390e-05
              166	4.4537774286e-03	6.5336746953e-02	3.0988288675e-01	6.2023523532e-01	9.1353547498e-05
              167	4.4537817758e-03	6.5336279924e-02	3.0988325495e-01	6.2023536053e-01	9.1322822932e-05
