#time mass rho rad_par
3650 0.00307285190147079 4100.07989742032 0.00563490891289212
3660 0.0030719479341122 4098.43902717105 0.00563510813420909
3670 0.00307104574113718 4096.80155435109 0.0056353070285644
3680 0.00307014531654572 4095.16746693525 0.00563550559700148
3690 0.00306924665435547 4093.53675293758 0.00563570384056156
3700 0.00306834974861843 4091.90940044387 0.005635901760279
3710 0.00306745459340932 4090.28539758949 0.00563609935718428
3720 0.00306656118286325 4088.66473261891 0.00563629663229968
3730 0.00306566951113937 4087.04739382861 0.00563649358664322
3740 0.00306477957242896 4085.43336958025 0.00563669022122752
3750 0.00306389136095396 4083.82264829783 0.00563688653706016
3760 0.00306300487096822 4082.21521847246 0.00563708253514221
3770 0.00306212009677447 4080.61106868398 0.00563727821646865
3780 0.00306123703269177 4079.01018754867 0.00563747358203245
3790 0.00306035567307602 4077.41256375792 0.0056376686328193
3800 0.00305947601231137 4075.8181860603 0.00563786336981055
3810 0.0030585980448289 4074.22704329263 0.00563805779398033
3820 0.00305772176507109 4072.63912432181 0.00563825190630054
3830 0.00305684716752196 4071.05441809283 0.0056384457077371
3840 0.00305597424669937 4069.47291361898 0.00563863919924983
3850 0.00305510299713872 4067.89459995374 0.00563883238179522
3860 0.00305423341341069 4066.3194662211 0.00563902525632347
3870 0.0030533654901368 4064.74750163686 0.00563921782377801
3880 0.00305249922193793 4063.17869542537 0.00563941008510239
3890 0.00305163460349875 4061.61303692838 0.00563960204122952
3900 0.00305077162949802 4060.05051548954 0.00563979369309219
3910 0.00304991029466125 4058.49112053936 0.00563998504161609
3920 0.00304905059375018 4056.93484157757 0.00564017608772153
3930 0.00304819252154075 4055.3816681382 0.00564036683232594
3940 0.00304733607284602 4053.83158982503 0.00564055727634159
3950 0.00304648124251412 4052.28459631006 0.00564074742067498
3960 0.00304562802540653 4050.74067730001 0.00564093726622892
3970 0.00304477641642057 4049.19982256886 0.00564112681390134
3980 0.00304392641048187 4047.66202194784 0.00564131606458521
3990 0.0030430780025475 4046.12726532847 0.00564150501916901
4000 0.00304223118759405 4044.59554264469 0.00564169367853771
4010 0.00304138596062566 4043.06684388568 0.00564188204357165
4020 0.00304054231666608 4041.54115908566 0.00564207011514645
4030 0.00303970025079583 4040.01847837633 0.00564225789413144
4040 0.00303885975810191 4038.4987919118 0.00564244538139358
4050 0.00303802083369134 4036.98208988956 0.00564263257779594
4060 0.00303718347270991 4035.46836257931 0.00564281948419592
4070 0.00303634767032059 4033.95760029002 0.00564300610144716
4080 0.00303551342172585 4032.44979340333 0.00564319243039778
4090 0.00303468072212974 4030.94493231502 0.00564337847189415
4100 0.00303384956678652 4029.4430075095 0.00564356422677628
4110 0.00303301236714712 4027.94400723486 0.00564374499302628
4120 0.00303218428692492 4026.44792430017 0.00564393017730906
4130 0.0030313577368425 4024.95474936989 0.00564411507747496
4140 0.003030532712247 4023.46447311745 0.00564429969434843
4150 0.00302970920850096 4021.97708625304 0.00564448402874998
4160 0.00302888722100186 4020.49257955213 0.00564466808149499
4170 0.00302806674516126 4019.0109438218 0.00564485185339647
4180 0.00302724777642556 4017.532169935 0.00564503534526193
4190 0.00302643031026225 4016.05624880721 0.00564521855789565
4200 0.00302561434215375 4014.58317138704 0.00564540149209931
4210 0.00302479986762338 4013.11292870054 0.00564558414866731
4220 0.00302398688220216 4011.64551179391 0.00564576652839297
4230 0.00302317538144697 4010.18091176627 0.0056459486320644
4240 0.00302236536094191 4008.71911976926 0.00564613046046555
4250 0.00302155681629406 4007.26012699841 0.00564631201437756
4260 0.00302074974313131 4005.80392469423 0.00564649329457687
